n, k, kPlace, ok, back
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
2,2,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
3,1,1,0,0
