n, k, kPlace, ok
4,1,1,false
4,1,1,true
4,1,1,false
4,1,1,true
4,1,1,true
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,true
4,1,1,false
4,1,1,false
4,1,1,true
4,1,1,true
4,1,1,true
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,true
4,1,1,true
4,1,1,false
4,1,1,true
4,1,1,true
4,1,1,false
4,1,1,true
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,true
4,1,1,true
4,1,1,true
4,1,1,false
4,1,1,true
4,1,1,false
4,1,1,true
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,true
4,1,1,false
4,1,1,true
4,1,1,true
4,1,1,true
4,1,1,true
4,1,1,true
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,true
4,1,1,true
4,1,1,true
4,1,1,true
4,1,1,false
4,1,1,false
4,1,1,true
4,1,1,false
4,1,1,false
4,1,1,true
4,1,1,false
4,1,1,true
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,true
4,1,1,true
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,true
4,1,1,true
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,true
4,1,1,true
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,true
4,1,1,false
4,1,1,true
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,false
4,1,1,true
4,1,1,true
4,1,1,true
4,1,1,true
4,1,1,true
4,1,1,true
4,1,1,true
4,1,1,false
4,1,1,true
4,1,1,true
4,2,2,false
4,2,2,false
4,2,2,true
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,true
4,2,2,false
4,2,2,false
4,2,2,true
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,true
4,2,2,false
4,2,2,true
4,2,2,false
4,2,2,false
4,2,2,true
4,2,2,false
4,2,2,true
4,2,2,true
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,true
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,true
4,2,2,true
4,2,2,false
4,2,2,false
4,2,2,true
4,2,2,false
4,2,2,true
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,true
4,2,2,true
4,2,2,true
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,true
4,2,2,false
4,2,2,true
4,2,2,false
4,2,2,true
4,2,2,true
4,2,2,true
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,true
4,2,2,false
4,2,2,true
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,true
4,2,2,true
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,false
4,2,2,true
4,2,2,false
4,2,2,false
4,2,2,true
4,2,2,false
4,2,2,false
4,2,2,false
4,3,3,false
4,3,3,true
4,3,3,true
4,3,3,false
4,3,3,false
4,3,3,true
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,true
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,true
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,true
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,true
4,3,3,false
4,3,3,false
4,3,3,true
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,true
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,true
4,3,3,false
4,3,3,false
4,3,3,true
4,3,3,false
4,3,3,true
4,3,3,false
4,3,3,true
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,true
4,3,3,true
4,3,3,false
4,3,3,true
4,3,3,false
4,3,3,false
4,3,3,true
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,true
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,false
4,3,3,true
4,3,3,false
4,3,3,true
4,3,3,false
4,3,3,false
4,3,3,false
4,4,4,true
4,4,3,false
4,4,3,false
4,4,4,true
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,4,true
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,4,true
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,4,true
4,4,3,false
4,4,4,true
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,4,true
4,4,4,true
4,4,3,false
4,4,3,false
4,4,4,true
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,4,true
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,4,true
4,4,4,true
4,4,3,false
4,4,4,true
4,4,3,false
4,4,3,false
4,4,4,true
4,4,3,false
4,4,3,false
4,4,4,true
4,4,4,true
4,4,4,true
4,4,3,false
4,4,4,true
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
4,4,3,false
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,1,1,true
5,2,2,false
5,2,2,false
5,2,2,true
5,2,2,false
5,2,2,false
5,2,2,false
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,false
5,2,2,false
5,2,2,true
5,2,2,false
5,2,2,false
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,false
5,2,2,true
5,2,2,false
5,2,2,true
5,2,2,true
5,2,2,false
5,2,2,true
5,2,2,false
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,false
5,2,2,false
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,false
5,2,2,true
5,2,2,false
5,2,2,true
5,2,2,false
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,false
5,2,2,true
5,2,2,true
5,2,2,false
5,2,2,false
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,false
5,2,2,true
5,2,2,false
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,false
5,2,2,false
5,2,2,false
5,2,2,false
5,2,2,true
5,2,2,true
5,2,2,false
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,false
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,false
5,2,2,false
5,2,2,true
5,2,2,false
5,2,2,true
5,2,2,true
5,2,2,true
5,2,2,true
5,3,3,false
5,3,3,false
5,3,3,false
5,3,3,true
5,3,3,false
5,3,3,false
5,3,3,true
5,3,3,true
5,3,3,true
5,3,3,true
5,3,3,true
5,3,3,false
5,3,3,false
5,3,3,true
5,3,3,false
5,3,3,true
5,3,3,true
5,3,3,false
5,3,3,true
5,3,3,false
5,3,3,false
5,3,3,true
5,3,3,false
5,3,3,false
5,3,3,true
5,3,3,true
5,3,3,true
5,3,3,false
5,3,3,false
5,3,3,false
5,3,3,true
5,3,3,true
5,3,3,true
5,3,3,false
5,3,3,true
5,3,3,false
5,3,3,false
5,3,3,true
5,3,3,false
5,3,3,true
5,3,3,true
5,3,3,false
5,3,3,true
5,3,3,true
5,3,3,false
5,3,3,false
5,3,3,false
5,3,3,false
5,3,3,false
5,3,3,true
5,3,3,true
5,3,3,false
5,3,3,false
5,3,3,false
5,3,3,false
5,3,3,false
5,3,3,true
5,3,3,false
5,3,3,true
5,3,3,true
5,3,3,true
5,3,3,true
5,3,3,false
5,3,3,false
5,3,3,false
5,3,3,false
5,3,3,false
5,3,3,false
5,3,3,true
5,3,3,false
5,3,3,false
5,3,3,false
5,3,3,false
5,3,3,true
5,3,3,false
5,3,3,false
5,3,3,true
5,3,3,false
5,3,3,false
5,3,3,false
5,3,3,true
5,3,3,false
5,3,3,true
5,3,3,true
5,3,3,false
5,3,3,true
5,3,3,true
5,3,3,false
5,3,3,false
5,3,3,true
5,3,3,false
5,3,3,false
5,3,3,false
5,3,3,true
5,3,3,true
5,3,3,false
5,3,3,true
5,3,3,true
5,3,3,true
5,3,3,true
5,4,4,true
5,4,4,true
5,4,3,false
5,4,4,false
5,4,4,true
5,4,4,false
5,4,4,true
5,4,4,true
5,4,4,false
5,4,4,false
5,4,4,true
5,4,4,true
5,4,4,false
5,4,4,true
5,4,4,true
5,4,4,true
5,4,4,false
5,4,4,true
5,4,4,false
5,4,4,false
5,4,4,true
5,4,4,false
5,4,4,true
5,4,4,false
5,4,4,true
5,4,4,true
5,4,4,false
5,4,3,false
5,4,4,false
5,4,3,false
5,4,4,false
5,4,3,false
5,4,4,false
5,4,4,true
5,4,4,false
5,4,4,false
5,4,3,false
5,4,4,true
5,4,4,true
5,4,4,false
5,4,4,true
5,4,4,false
5,4,4,true
5,4,4,false
5,4,4,true
5,4,4,false
5,4,4,false
5,4,4,false
5,4,4,true
5,4,4,false
5,4,4,true
5,4,4,false
5,4,3,false
5,4,4,false
5,4,4,false
5,4,4,true
5,4,4,false
5,4,4,true
5,4,4,false
5,4,4,false
5,4,4,true
5,4,3,false
5,4,4,true
5,4,4,true
5,4,4,true
5,4,4,true
5,4,4,false
5,4,4,false
5,4,4,false
5,4,4,true
5,4,4,false
5,4,3,false
5,4,3,false
5,4,4,false
5,4,4,true
5,4,4,true
5,4,3,false
5,4,4,false
5,4,4,false
5,4,4,true
5,4,4,true
5,4,4,false
5,4,4,false
5,4,4,false
5,4,4,false
5,4,4,false
5,4,4,true
5,4,4,false
5,4,4,false
5,4,4,true
5,4,4,false
5,4,4,true
5,4,4,true
5,4,4,true
5,4,4,false
5,4,4,true
5,4,4,true
5,4,4,true
5,4,4,true
5,4,4,false
5,5,4,false
5,5,5,true
5,5,5,true
5,5,5,true
5,5,5,true
5,5,5,true
5,5,5,true
5,5,3,false
5,5,4,false
5,5,5,true
5,5,4,false
5,5,4,false
5,5,5,true
5,5,3,false
5,5,4,false
5,5,5,true
5,5,4,false
5,5,4,false
5,5,4,false
5,5,5,true
5,5,4,false
5,5,5,true
5,5,5,true
5,5,5,true
5,5,3,false
5,5,4,false
5,5,5,true
5,5,5,true
5,5,3,false
5,5,4,false
5,5,5,true
5,5,4,false
5,5,3,false
5,5,4,false
5,5,4,false
5,5,5,true
5,5,4,false
5,5,4,false
5,5,4,false
5,5,5,true
5,5,4,false
5,5,4,false
5,5,3,false
5,5,5,true
5,5,5,true
5,5,4,false
5,5,4,false
5,5,5,true
5,5,5,true
5,5,5,true
5,5,4,false
5,5,4,false
5,5,5,true
5,5,5,true
5,5,4,false
5,5,4,false
5,5,5,true
5,5,4,false
5,5,5,true
5,5,5,true
5,5,4,false
5,5,5,true
5,5,5,true
5,5,4,false
5,5,5,true
5,5,5,true
5,5,4,false
5,5,5,true
5,5,3,false
5,5,4,false
5,5,4,false
5,5,5,true
5,5,5,true
5,5,5,true
5,5,4,false
5,5,4,false
5,5,4,false
5,5,5,true
5,5,3,false
5,5,5,true
5,5,4,false
5,5,4,false
5,5,4,false
5,5,3,false
5,5,4,false
5,5,4,false
5,5,5,true
5,5,5,true
5,5,3,false
5,5,4,false
5,5,4,false
5,5,4,false
5,5,5,true
5,5,5,true
5,5,4,false
5,5,5,true
5,5,4,false
5,5,5,true
5,5,4,false
5,5,4,false
6,1,1,false
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,false
6,1,1,true
6,1,1,false
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,false
6,1,1,true
6,1,1,true
6,1,1,false
6,1,1,true
6,1,1,false
6,1,1,false
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,false
6,1,1,true
6,1,1,false
6,1,1,false
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,false
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,false
6,1,1,false
6,1,1,true
6,1,1,true
6,1,1,false
6,1,1,true
6,1,1,false
6,1,1,true
6,1,1,true
6,1,1,false
6,1,1,false
6,1,1,true
6,1,1,true
6,1,1,false
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,false
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,false
6,1,1,false
6,1,1,false
6,1,1,true
6,1,1,false
6,1,1,false
6,1,1,false
6,1,1,false
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,false
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,false
6,1,1,false
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,false
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,true
6,1,1,false
6,1,1,true
6,1,1,false
6,1,1,true
6,1,1,false
6,1,1,true
6,1,1,false
6,1,1,true
6,1,1,false
6,2,2,false
6,2,2,false
6,2,2,true
6,2,2,false
6,2,2,true
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,true
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,true
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,true
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,true
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,true
6,2,2,true
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,true
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,true
6,2,2,true
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,true
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,true
6,2,2,false
6,2,2,false
6,2,2,true
6,2,2,false
6,2,2,true
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,false
6,2,2,true
6,2,2,true
6,2,2,false
6,2,2,false
6,3,3,true
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,true
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,true
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,true
6,3,3,false
6,3,3,true
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,true
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
6,3,3,false
